"gid","SITE_CODE","SITE_NAME","Metro_ID","LAT","LON","date_time","sample_utc_offset","value","unit","parameter","method","mdl","pql","matrix","lab_batch","qualifier","dup"
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-11-15 15:15:00",8,"1.75515","FNU       ","Turbidity","TURB-YSI EXO Smart Sensor",0,0,"Water"," See TC Env Health files","EST",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-11-15 15:15:00",8,"11.02043","mg/L      ","Dissolved Oxygen","DO-OPTICAL",0,0,"Water","TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-11-15 15:15:00",8,"195","#cfu/100ml","Fecal Coliform","SM9222D",0,0,"Water","","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-10-04 12:30:00",8,,"FNU       ","Turbidity","TURBM",0,0,"Water","","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-10-04 12:30:00",8,,"mg/L      ","Total Phosphorus","EPA353.2",0,0,"Water","See TC Env Health files","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-10-04 12:30:00",8,,"FNU       ","Turbidity","TURB-YSI EXO Smart Sensor",0,0,"Water"," See TC Env Health files","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-10-04 12:30:00",8,,"#cfu/100ml","Fecal Coliform","SM9222D",0,0,"Water","","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-10-04 11:30:00",7,,"C         ","Temperature, water","TEMPTHERM",0,0,"Water","See TC Env Health files","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-10-04 11:30:00",7,,"Std. Units","pH","PHMETER",0,0,"Water","","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-10-04 11:30:00",7,,"FNU       ","Turbidity","TURB-YSI EXO Smart Sensor",0,0,"Water"," See TC Env Health files","FD ",0
